CID_____	CRPName___	Party	DistIDRunFor	FECCandID
N00034121	Perkinson, Harry	D	PA04	H2PA04143
N00027510	Perlmutter, Edwin G	D	CO07	H6CO07023
N00034316	Perras, Nelson	D	GA07	H2GA07089
N00033486	Perry, Rick	R	PRES	P20003281
N00034120	Perry, Scott	R	PA04	H2PA04135
N00034405	Pestka, Steve	D	MI03	H2MI03148
N00033737	Peters, Alvin L	D	FL02	H2FL02090
N00029277	Peters, Gary	D	MI14	H8MI09068
N00034600	Peters, Herb	R	NV01	H2NV01223
N00033591	Peters, Scott	D	CA52	H2CA52089
N00032199	Petersen, Eric	3	CA20	H0CA17151
N00004558	Peterson, Collin C	D	MN07	H2MN07014
N00030903	Peterson, David	D	CA12	H0CA10172
N00034420	Peterson, Don	R	NC10	H2NC10108
N00034467	Peterson, William Bill 'Donald	D	UTS1	S2UT00237
N00034085	Petrella, Chris	R	NC11	H2NC11106
N00004426	Petri, Tom	R	WI06	H0WI06061
N00033534	Pettigrew, Wayne	R	OK02	H2OK02141
N00033609	Petzel, Geoffrey J	D	IL06	H2IL06041
N00034053	Phelps, Draper	R	MD03	H2MD03150
N00033748	Phelps, Joel	R	IN01	H2IN01123
N00029566	Phillips, George K	R	NY22	H8NY22102
N00034160	Phillips, Jim	D	VA07	H2VA07139
N00034387	Phillips, Terry	I	CA23	H2CA23122
N00034441	Phipps, Sherry	3	UT01	H2UT01227
N00029747	Pierce, Harry	R	TX03	H8TX03065
N00029168	Pierluisi, Pedro	D	PR00	H8PR00062
N00033472	Pillich, Connie	D	OH02	H2OH01145
N00033209	Pilot, Katherine	I	CA36	H2CA36371
N00030005	Ping, Catherine	R	IN07	H8IN07259
N00013817	Pingree, Chellie	D	ME01	H8ME01120
N00034484	Pinkerton, John	D	CA08	H2CA00138
N00034851	Pires, Alexander	I	DES1	S2DE00080
N00028771	Pirkowski, Eddie	R	HIS2	S6HI00222
N00033214	Pirtle, James C	L	CO05	H2CO05067
N00030781	Pistone, John	I	CT05	H0CT05127
N00031695	Pittenger, Lela Mae	R	TXS2	S0TX00217
N00034416	Pittenger, Robert	R	NC09	H2NC09134
N00001633	Pitts, Joe	R	PA16	H6PA16197
N00009719	Platts, Todd	R	PA04	H0PA19053
N00034992	Pleasant, Martin	3	TNS1	S2TN00355
N00034583	Plowman, Deb	R	MES1	S2ME00141
N00033613	Plummer, Jason	R	IL12	H2IL12098
N00033549	Pocan, Mark	D	WI02	H2WI02124
N00026457	Poe, Ted	R	TX02	H4TX02108
N00034536	Pojunis, Bill	L	NV01	H2NV01231
N00034258	Polhemus, Kathy L	I	CO06	H2CO06149
N00027086	Poliak, Carlo (Tex)	R	NVS1	S4NV00197
N00034584	Poliquin, Bruce	R	MES1	S2ME00158
N00029127	Polis, Jared	D	CO02	H8CO02137
N00034463	Pollard, Ben	D	MES1	S2ME00091
N00033369	Pollock, David	D	CA26	H2CA24146
N00030744	Pompeo, Mike	R	KS04	H0KS04051
N00034701	Poole, Robert	R	MOS2	S2MO00452
N00033751	Pooran, Milad	D	MD06	H2MD06161
N00031199	Popaditch, Nick	R	CA53	H0CA51036
N00032174	Portantino, Anthony	D	CA32	H0CA00082
N00034512	Porter, Jack N	D	MA04	H2MA04099
N00026233	Porter, Steve	I	PA03	H4PA03075
N00033935	Porterfield, Karen	D	WA08	H2WA08158
N00034674	Portley, Bernard	R	CA51	H2CA51198
N00003682	Portman, Rob	R	OHS2	S0OH00133
N00029662	Posey, Bill	R	FL08	H8FL15107
N00033344	Poskevich, Zachary Scott	R	TNS1	S2TN00215
N00030380	Postma, Jim	R	WA09	H8WA09047
N00031633	Potosnak, Edward III	D	NJ07	H0NJ07212
N00033712	Potter, Thomas Allen	D	NDS2	S2ND00081
N00034072	Potts, Chris	3	MS01	H2MS01106
N00030492	Powell, Isaac	D	OH11	H8OH11166
N00033357	Powell, Mark Edward	L	CA52	H6CA00147
N00033318	Powell, Wayne	D	VA07	H2VA07113
N00034667	Powelson, Michael W	3	CA30	H2CA30259
N00001061	Previdi, Robert	R	NY03	H8NY03045
N00002260	Price, David	D	NC04	H6NC04037
N00006593	Price, Nancy	D	NVS1	S2NV00266
N00026160	Price, Tom	R	GA06	H4GA06087
N00034131	Prosser, Chad	R	SC07	H2SC07124
N00033453	Prowell, Anthony	D	AZ01	H2AZ08045
N00033543	Pruyn, Ralph	R	TX25	H2TX25244
N00032836	Pryce, Michael	R	OHS1	S0OH00265
N00013823	Pryor, Mark	D	ARS1	S0AR00028
N00031552	Puente-Bradshaw, Jessica	R	TX34	H0TX27053
N00034919	Pueschel, Alec	R	FL06	H2FL06174
N00002725	Pueschel, Deb	R	FL04	H0FL04033
N00034710	Pulles, Margaret Rose	R	FL23	H2FL23070
N00028240	Pullins, Pierre Quincy	D	IN07	H6IN07337
N00034295	Qarmout, Bader	R	NJS1	S2NJ00403
N00031723	Quayle, Ben	R	AZ06	H0AZ03362
N00030581	Quigley, Mike	D	IL05	H0IL05096
N00034518	Quinn, Jerome	D	MI10	H2MI10093
N00034500	Quinones, John	R	FL09	H2FL09129
N00034563	Quintanilla, Carlos	D	TX33	H2TX06186
N00031389	Quist, Allen	R	MN01	H0MN01037
N00034017	Radel, Trey	R	FL19	H2FL14194
N00034284	Radle, Will Jr	D	VA08	H2VA08111
N00033031	Radtke, Jamie L	R	VAS1	S0VA00054
N00002213	Raese, John R	R	WVS1	S4WV00084
N00002198	Rahall, Nick	D	WV03	H6WV04057
N00033967	Railey, Curtis	I	AL01	H2AL01192
N00034776	Raju, S Gopal	L	TXS2	S2TX00536
N00031028	Ramirez, Al	R	CAS2	S0CA00306
N00025036	Ramirez, Daniel C (Danny)	D	CA51	H2CA51131
N00033837	Ramirez, Ruben	D	TX15	H2TX15047
N00029652	Ramirez-Dean, Rita	D	CA31	H8CA41139
N00034435	Ramsburg, Karen	I	PA09	H2PA09084
N00031008	Randall, Bill	R	NC13	H0NC13015
N00000964	Rangel, Charles B	D	NY13	H6NY19029
N00031862	Rankin, Beth Anne	R	AR04	H0AR04079
N00004633	Rankin, Sam	D	MT01	H0MT00074
N00027686	Rathje, Steve	R	IA01	H0IA02099
N00033427	Rauniyar, Darshan	D	WA01	H2WA01153
N00032175	Ray, Eugene	R	CA03	H0CA00090
N00013867	Raye, Kevin	R	ME02	H2ME02071
N00002002	Rea, John	D	MD04	H8MD04064
N00029657	Reale, Daniel J	L	CT02	H8CT02085
N00034945	Redfield, Holland	R	VI00	H2VI00074
N00034499	Reed, Dale F	I	CO03	H2CO03161
N00000362	Reed, Jack	D	RIS2	S6RI00163
N00031699	Reed, James E	D	CA01	H0CA02138
N00030776	Reed, Mark	R	CA30	H0CA27101
N00030949	Reed, Tom	R	NY23	H0NY29054
N00033867	Reese, James	D	OH12	H2OH12100
N00033824	Regula, Lisa	D	OH13	H2OH13181
N00004645	Rehberg, Denny	R	MTS1	S6MT00097
N00004645	Rehberg, Denny	R	MTS1	S6MT00097
N00026885	Reichert, Dave	R	WA08	H4WA08071
N00032460	Reid, Chard	L	IN05	H0IN05169
N00009922	Reid, Harry	D	NVS2	S6NV00028
N00012566	Reilly, Chris	R	PA04	H0PA19095
N00034783	Reilly, Steve	D	GA07	H2GA07097
N00034424	Reiman, Korey Lynn	D	NE01	H2NE01076
N00031127	Renacci, Jim	R	OH16	H0OH16097
N00033366	Renee, Tiffany	D	CA02	H2CA06283
N00033615	Reske, Scott	D	IN05	H2IN05090
N00013164	Reyes, Art	D	HIS2	S0HI00118
N00033391	Reyes, Eric	D	IL17	H2IL17089
N00006067	Reyes, Silvestre	D	TX16	H6TX00115
N00033825	Reynolds, Steven	3	OR01	H2OR01216
N00030968	Ribble, Reid	R	WI08	H0WI08075
N00027864	Ribeiro, Simon	D	IL09	H0IL05286
N00034427	Rice, Ron	D	NJ10	H2NJ10139
N00033832	Rice, Tom	R	SC07	H2SC07066
N00034613	Richardson, Charles	I	CA17	H2CA17108
N00029112	Richardson, Laura	D	CA44	H8CA37137
N00034505	Richardson, Pro-Life	I	ID01	H2ID01127
N00034403	Richardson, Ralph Blaine	R	ME02	H2ME02154
N00030184	Richmond, Cedric	D	LA02	H8LA02054
N00033503	Richmond, Marcus	R	AR04	H2AR04091
N00034878	Ricks, Michael	R	FL03	H2FL03148
N00026265	Riddle, Wes	R	TX25	H4TX11026
N00033501	Riehm, Pete	R	AL01	H2AL01184
N00030962	Rigell, Scott	R	VA02	H0VA02084
N00032131	Riggs, Bruce Ray	I	FL05	H2FL05192
N00032306	Rights, Ted	D	MO06	H0MO06156
N00033028	Riley, Jim	D	TX11	H2TX11061
N00033828	Riley, Michael G	R	RI02	H2RI02135
N00034211	Rios, Anita	3	OHS1	S2OH00246
N00033051	Rippeon, Brandon Orman	R	MD06	H2MD06120
N00029441	Risch, James E	R	IDS1	S8ID00092
N00031920	Risk, Kristi	R	IN08	H0IN08148
N00034030	Ritter, Tim	D	IL06	H2IL06066
N00033650	Ritter, Todd	D	OR01	H2OR01174
N00031887	Rivera, David	R	FL26	H0FL25038
N00028605	Rivers, Don	D	WA07	H6WA07409
N00031368	Roach, James Lloyd	D	FL19	H0FL14065
N00034352	Roark, Rob	R	TX35	H2TX35078
N00030199	Robbins, Frankie	D	OK03	H8OK03047
N00032810	Robbio, Donald	R	RI02	H0RI02246
N00034320	Roberson, John	D	IN03	H2IN03160
N00033216	Roberti, Dan	D	CT05	H2CT05123
N00034829	Roberts, Benjamin	D	TNS1	S2TN00298
N00034371	Roberts, Bill	D	MI11	H2MI11141
N00032559	Roberts, Daniel W	R	CA02	H0CA06121
N00034569	Roberts, Jason	D	TX33	H2TX33164
N00034337	Roberts, Jennifer	D	NC09	H2NC09076
N00034943	Roberts, Mark	3	TX02	H2TX02102
N00005285	Roberts, Pat	R	KSS1	S6KS00080
N00031212	Roberts, Shannon	D	FL08	H0FL15054
N00033929	Roberts, Trey	R	TX27	H2TX27240
N00032006	Robinson, Art	R	OR04	H0OR04081
N00033962	Robinson, Dave	D	TX12	H2TX33107
N00034602	Robinson, Eric Donald	I	OH14	H2OH14056
N00030251	Robinson, Herb	D	MA04	H8MA04047
N00034380	Robinson, Johnnie Elbert	D	AZ04	H2AZ04150
N00034554	Robinson, Matthew	D	OR04	H2OR04061
N00033915	Robinson, Phillip Scott	D	TX06	H2TX06145
N00034989	Robinson, Rachel	D	TN06	H2TN06139
N00026150	Robinson, Vernon	R	NC08	H4NC05138
N00033879	Robles, Jorge	R	CA38	H2CA38229
N00030768	Roby, Martha	R	AL02	H0AL02087
N00034391	Rocha, Jorge	I	CA46	H2CA46115
N00001685	Rockefeller, Jay	D	WVS2	S4WV00027
N00032862	Roco, John	R	HIS2	S0HI00183
N00034091	Rodrigues, Mike	R	NV01	H2NV01199
N00009828	Rodriguez, Ciro D	D	TX23	H8TX28013
N00034540	Rodriguez, Xio	D	NV02	H2NV02486
N00028463	Roe, Phil	R	TN01	H6TN01388
N00022270	Roemer, Buddy	I	PRES	P20002523
N00033918	Roen, Corey Dean	R	TX16	H2TX16201
N00003473	Rogers, Hal	R	KY05	H0KY05015
N00034342	Rogers, Hayden	D	NC11	H2NC11114
N00031548	Rogers, Kesha	D	TX22	H0TX22112
N00033372	Rogers, Lee C	D	CA25	H2CA25143
N00009668	Rogers, Mike	R	MI08	H0MI08042
N00024759	Rogers, Mike D	R	AL03	H2AL03032
N00033985	Rogers, Wendy	R	AZ09	H2AZ09035
N00034785	Rohl, Wanda	D	IL16	H2IL16057
N00007151	Rohrabacher, Dana	R	CA48	H8CA42061
N00033957	Rohrer, Sam	R	PAS2	S2PA00265
N00031741	Rokita, Todd	R	IN04	H0IN04170
N00029814	Roland, Jon	L	TXS2	S8TX00244
N00033464	Romero, Karla	R	MA07	H2MA08058
N00000286	Romney, Mitt	R	PRES	P80003353
N00033931	Romo, Sylvia S	D	TX35	H2TX35037
N00032819	Rooney, Jack	I	INS1	S0IN00186
N00033826	Rooney, Joe	R	PA13	H2PA13110
N00029018	Rooney, Tom	R	FL17	H8FL16022
N00033210	Roozee, Matthew	I	CA36	H2CA36389
N00033736	Roraback, Andrew	R	CT05	H2CT05206
N00002858	Ros-Lehtinen, Ileana	R	FL27	H0FL18025
N00033961	Rosa, David L	R	TX20	H2TX20039
N00034472	Rose, Bobbie	D	SC01	H2SC01069
N00032347	Rosen, Mark	R	NY17	H0NY18164
N00033813	Rosen, Wendy	D	MD01	H2MD01147
N00034681	Roses, Gloria Romero	D	FL26	H2FL26032
N00004719	Roskam, Peter	R	IL06	H6IL06117
N00030645	Ross, Dennis	R	FL15	H0FL12101
N00009571	Ross, Mike	D	AR04	H0AR04038
N00033958	Ross, Mike	D	MA04	H2MA00022
N00031253	Rothfus, Keith J	R	PA12	H0PA04220
N00008619	Rothman, Steven R	D	NJ09	H6NJ09165
N00033527	Rouzer, David	R	NC07	H2NC07096
N00033412	Rowe, Dustin	R	OK02	H2OK02109
N00006671	Roybal-Allard, Lucille	D	CA40	H2CA33048
N00008264	Royce, Ed	R	CA39	H6CA39020
N00033550	Roys, Kelda Helen	D	WI02	H2WI02132
N00034799	Rozum, Ursula E	3	NY24	H2NY24119
N00034185	Ruben, David	D	AZS2	S2AZ00265
N00030612	Rubio, Marco	R	FLS2	S0FL00338
N00033455	Rubio, Michael	D	CA21	H2CA21159
N00007838	Ruderman, Laura	D	WA01	H8WA01051
N00033992	Ruelas, Zeke	D	CA26	H2CA26083
N00034621	Ruiz, Joe	L	IN02	H2IN02246
N00032576	Ruiz, Nicholas III	D	FL07	H0FL24171
N00033510	Ruiz, Raul	D	CA36	H2CA36439
N00034375	Rule, Herb	D	AR02	H2AR02053
N00031632	Rullo, Joe	R	NJS1	S2NJ00361
N00031988	Runyan, Jon	R	NJ03	H0NJ03153
N00033956	Rupert, Scott	I	OHS1	S2OH00204
N00025482	Ruppersberger, Dutch	D	MD02	H2MD02160
N00033610	Ruscitti, Darlene J	R	IL08	H2IL08120
N00004887	Rush, Bobby L	D	IL01	H2IL01042
N00034722	Rushin, Jack	D	MO08	H2MO08075
N00033078	Rushing, Ronald D	R	FLS1	S2FL00219
N00034647	Rusk, Tim	D	TX24	H2TX24122
N00034026	Russell, Clifford	D	IL01	H2IL01174
N00008661	Russell, Jim	R	NY17	H6NY18153
N00026818	Russell, John Timothy	R	FL11	H4FL05032
N00032804	Russo, Kara	R	RI02	H0RI01115
N00034501	Russo, Nathan C	D	GA01	H2GA01223
N00033611	Rutagwibira, Aloys	D	IL10	H2IL10092
N00032307	Ryan, Christopher	R	MO06	H0MO06164
N00004357	Ryan, Paul	R	WI01	H8WI01024
N00025280	Ryan, Tim	D	OH13	H2OH17109
N00030418	Sablan, Gregorio	D	MP00	H8MP00041
N00034214	Sadler, Paul	D	TXS2	S2TX00429
N00027300	Said, Mohammad H	D	WA04	H2WA04132
N00034543	Sakura, Gerald	D	NV03	H2NV03146
N00034571	Salazar, Steve	D	TX33	H2TX33180
N00034579	Salcedo, Sylvester	D	CTS1	S2CT00215
N00033457	Saldana, Lori	D	CA52	H2CA52063
N00034323	Salin, Bill	R	IN05	H2IN05140
N00006446	Salmon, Matt	R	AZ05	H4AZ01038
N00034802	Salyer, Michael	I	TN01	H2TN01098
N00033724	Sanchez, David	D	TX26	H2TX26168
N00032211	Sanchez, David	D	CA40	H0CA34099
N00033271	Sanchez, John	R	NMS1	S2NM00104
N00024870	Sanchez, Linda	D	CA38	H2CA39078
N00008274	Sanchez, Loretta	D	CA46	H6CA46033
N00033264	Sanchez, Ricardo	D	TXS2	S2TX00353
N00034921	Sanchez, Roberto	I	FL09	H2FL09137
N00012812	Sand, Duane	R	NDS2	S0ND00069
N00000528	Sanders, Bernie	I	VTS1	S4VT00033
N00034351	Sanders, Kenneth	D	TX06	H2TX33123
N00034705	Sanders, William M	I	OK03	H2OK03107
N00006317	Sandstrom, Stephen	R	UT04	H2UT02308
N00001380	Santorum, Rick	R	PRES	P20002721
N00027751	Sarbanes, John	D	MD03	H6MD03292
N00034087	Sare, Diane	D	NJ05	H2NJ05279
N00034138	Sargent, Bill	R	TX14	H2TX14156
N00033319	Sauerwein, Bob	R	WA06	H2WA06111
N00034816	Saulsberry, Brian L	I	TN09	H2TN09166
N00034894	Sawicki, Harry	R	MI13	H2MI13162
N00029292	Sawyer, John	R	FL19	H2FL14160
N00033590	Sawyer, Vincent Peter	R	CA41	H2CA41124
N00033758	Scala, Michael	D	NY05	H2NY06108
N00009660	Scalise, Steve	R	LA01	H0LA01087
N00033027	Scaringi, Marc	R	PAS2	S0PA00491
N00033616	Scates, Patrick	D	IN08	H2IN08102
N00031009	Scaturro, Frank	R	NY04	H0NY04057
N00004724	Schakowsky, Jan	D	IL09	H8IL09067
N00034482	Schandlbauer, Leah Campos	R	AZ09	H2AZ09084
N00033984	Schapira, David	D	AZ09	H2AZ09027
N00009575	Scharer, Gene Paul	D	AZ08	H0AZ03248
N00007548	Schaupp, Charles E	R	CA03	H6CA03067
N00033573	Scherer, Thomas E	D	FL19	H2FL14129
N00033362	Schiess, John	R	WIS1	S2WI00193
N00009585	Schiff, Adam	D	CA28	H0CA27085
N00030668	Schilling, Bobby	R	IL17	H0IL17059
N00034915	Schlakman, Mark	D	FL02	H2FL02124
N00034673	Schlar, Alan	I	CA48	H2CA48103
N00030368	Schley, Craig	D	NY13	H8NY15122
N00034837	Schlingensiepen, Tobias	D	KS02	H2KS02119
N00027526	Schmidt, Jean	R	OH02	H6OH02086
N00011190	Schmitt, Dan	R	IL05	H4IL11047
N00033317	Schmookler, Andy	D	VA06	H2VA06180
N00034581	Schneider, Bill	R	MES1	S2ME00117
N00033101	Schneider, Brad	D	IL10	H2IL10068
N00029273	Schock, Aaron	R	IL18	H8IL18043
N00032232	Schonberg, Steven E	I	FL06	H0FL06079
N00030071	Schrader, Kurt	D	OR05	H8OR05107
N00028236	Schrader, Tommy	D	IN03	H6IN03187
N00034276	Schreibman, Julian D	D	NY19	H2NY00051
N00034758	Schuler, Andrew Thomas	3	MNS2	S2MN00274
N00026106	Schultz, Debbie Wasserman	D	FL23	H4FL20023
N00001093	Schumer, Charles E	D	NYS2	S8NY00082
N00034401	Schumm, Walter Christian	R	KY04	H2KY04162
N00001579	Schwartz, Allyson	D	PA13	H4PA13124
N00033757	Schwartz, Dan	R	NV04	H2NV04029
N00006460	Schweikert, David	R	AZ06	H4AZ06045
N00033582	Scileppi, Christopher Legrande	R	AZ03	H2AZ07153
N00034123	Scollo, Philip	D	PA10	H2PA10090
N00032457	Scott, Austin	R	GA08	H0GA08099
N00002147	Scott, Bobby	D	VA03	H6VA01117
N00024871	Scott, David	D	GA13	H2GA13012
N00028616	Scott, Lawrence	I	FLS1	S6FL00251
N00031782	Scott, Tim	R	SC01	H0SC01279
N00030695	Sebring, Dan	R	WI04	H0WI04090
N00034257	Secor, David	D	CA50	H2CA50158
N00034356	Seegmiller, F Jay	D	UT02	H2UT02357
N00034922	Seegolam, Naipaul	I	FL10	H2FL10168
N00031773	Segers, Joyce B	D	OR02	H0OR02093
N00034695	Seibert, Sean	R	TX18	H2TX18140
N00034897	Seiford, Ron	R	MN04	H2MN04128
N00034270	Selvaggi, Joe	R	MA08	H2MA08066
N00033287	Semon, Jeff	R	MA07	H2MA07092
N00034503	Seng, Joe	D	IA02	H2IA02095
N00004291	Sensenbrenner, F James Jr	R	WI05	H8WI09050
N00034304	Sepulveda, Martin	R	AZ09	H2AZ09050
N00001813	Serrano, Jose E	D	NY15	H0NY18065
N00003062	Sessions, Jeff	R	ALS1	S6AL00195
N00005681	Sessions, Pete	R	TX32	H2TX03126
N00033343	Severson, Dan 'Doc'	R	MNS2	S2MN00225
N00030622	Sewell, Terri A	D	AL07	H0AL07086
N00034264	Seybold, Wayne	R	IN05	H2IN05116
N00033380	Shaffer, Brandon	D	CO04	H2CO04094
N00034084	Shaffer, Michael	R	NC09	H2NC09068
N00031867	Shah, Jay	D	CA47	H0CA00074
N00034651	Shah, Nak	D	CAS2	S2CA00757
N00034671	Shah, Usha	D	CA47	H2CA47154
N00024790	Shaheen, Jeanne	D	NHS2	S0NH00219
N00033167	Sharma, Mirand Reeb	R	FLS1	S2FL00268
N00034624	Sharp, Jason	L	IN09	H2IN07146
N00030702	Sharp, John	D	TXS2	S0TX00167
N00002932	Sharpe, Mark	R	FL11	H2FL07057
N00032302	Shawd, Ron	R	MO05	H0MO05158
N00000652	Shays, Christopher	R	CTS1	S2CT00165
N00028091	Shea-Porter, Carol	D	NH01	H6NH01230
N00034148	Shearer, Patrick	D	TX35	H2TX35052
N00034025	Sheffield, Maria	R	GA12	H2GA12147
N00034677	Shehata, Ehab T	I	CA52	H2CA52139
N00034042	Shein, Bill	D	MA01	H2MA01202
N00009920	Shelby, Richard C	R	ALS2	S6AL00013
N00034046	Sheldon, Christopher	R	MA09	H2MA09189
N00034312	Shelley, Susan	R	CA30	H2CA30242
N00025842	Shepard, Jack	D	MNS2	S2MN00159
N00034057	Shepherd, Charles	R	MD04	H2MD04281
N00006897	Sherman, Brad	D	CA30	H6CA24113
N00033100	Sheyman, Ilya	D	IL10	H2IL10050
N00031459	Shields, Summer	D	CA12	H0CA08077
N00034656	Shifren, Nachum	R	CAS2	S2CA00807
N00004961	Shimkus, John M	R	IL15	H2IL20042
N00034096	Shinagawa, Nathan	D	NY23	H2NY22113
N00027222	Shiratori, Miles	D	HI02	H4HI02082
N00034634	Shober, Cassandra	D	NJ02	H2NJ02144
N00034706	Shoop, John C W	R	WA02	H2WA02185
N00030006	Shouse, Larry	R	IN07	H8IN07267
N00027673	Shudlick, Harold A	R	MNS2	S6MN00333
N00027655	Shuler, Heath	D	NC11	H6NC11172
N00033528	Shurin, Michael Joseph	R	NJ08	H2NJ13141
N00013770	Shuster, Bill	R	PA09	H2PA09035
N00034161	Shuttleworth, Bruce	D	VA08	H2VA08103
N00033284	Siekman, Lane	D	IN06	H2IN06189
N00033796	Silva, Robert Leo Ma II	R	CA09	H2CA09113
N00033764	Silverman, Matt	D	WI02	H2WI02157
N00027370	Silvestri, Joe	L	NV04	H4NV03076
N00030623	Simitian, S Joseph	D	CA19	H0CA15171
N00034450	Simonsen, Soren	D	UT03	H2UT03249
N00006263	Simpson, Mike	R	ID02	H8ID02064
N00033604	Simpson, Stephen K	R	GA10	H2GA10117
N00033460	Sims, Jordan R	D	IL01	H2IL01133
N00033983	Sinema, Kyrsten	D	AZ09	H2AZ09019
N00029951	Singh, Navraj	R	CA30	H8CA27088
N00033878	Singleton, Marilyn M	I	CA13	H2CA13099
N00027541	Sinnard, Jeff	D	OH01	H6OH02110
N00027523	Sires, Albio	D	NJ08	H6NJ13191
N00033978	Sitton, Dave	R	AZ02	H2AZ08060
N00034325	Sizemore, Joe	R	IN06	H2IN06247
N00010719	Skolnick, Shelton	R	MD08	H2MD08084
N00034685	Slantz, Bill	L	MO02	H2MO02151
N00001311	Slaughter, Louise M	D	NY25	H6NY03031
N00033622	Slezak, James	R	MI05	H2MI05127
N00034745	Slone, Jim	D	OH04	H2OH04131
N00034679	Slough, Beverly	R	FL06	H2FL06141
N00034445	Small, Mike	D	UT02	H2UT02399
N00007833	Smith, Adam	D	WA09	H6WA09025
N00027623	Smith, Adrian	R	NE03	H6NE03115
N00034368	Smith, Allen	R	IN06	H2IN06254
N00026863	Smith, Bert	D	OK04	H4OK05066
N00034929	Smith, Brandon	I	FL19	H2FL19102
N00012760	Smith, Charles	D	MD07	H0MD07056
N00009816	Smith, Chris	R	NJ04	H8NJ04014
N00030692	Smith, Chuck	R	VA03	H0VA02068
N00034313	Smith, Clifford J	D	CA42	H2CA42148
N00033754	Smith, Diane	D	MT01	H2MT00070
N00034787	Smith, E David	I	NJ09	H2NJ09123
N00030740	Smith, Frederick	D	IL01	H0IL01137
N00033788	Smith, Gary	R	NM01	H2NM01136
N00034152	Smith, Jacqueline	R	UT01	H2UT01193
N00032551	Smith, John	R	TN05	H2TN05263
N00034221	Smith, Kip Alan	R	WIS1	S2WI00250
N00001811	Smith, Lamar	R	TX21	H6TX21012
N00033721	Smith, Larry M	R	MD02	H2MD02228
N00032413	Smith, Stephen C	R	CA34	H2CA34061
N00033581	Smith, Tom	R	PAS2	S2PA00224
N00034107	Smith, Victor	R	OH06	H2OH06102
N00034640	Smith, Wayne	D	NJ10	H2NJ10162
N00029635	Smith, William	D	OH02	H8OH02074
N00033018	Smith-Kearney, Vanessa Mcgee	D	NC13	H0NC13064
N00031869	Smitt, Erik	R	CA06	H0CA05073
N00033803	Snow, Jonathan Michael	D	FL12	H2FL09103
N00000480	Snowe, Olympia	R	MES1	S4ME00055
N00026175	Snuffer, Richard	R	WV03	H4WV03047
N00011393	Sobhani, Rob	I	MDS1	S2MD00198
N00033201	Solomon, Norman	D	CA02	H2CA06267
N00034636	Somer, Bonnie	R	NJ05	H2NJ05295
N00034991	Soni, Inder	3	NJS1	S2NJ00445
N00034939	Soracco, Diane	D	NH01	H2NH01221
N00031204	Southerland, Steve	R	FL02	H0FL02110
N00034321	Sowards, David	D	IN03	H2IN03178
N00006581	Sowards, Greg	R	NMS1	S2NM00070
N00027902	Space, Zachary T	D	OH07	H6OH18157
N00033265	Spadaro, Vittorio	3	WIS1	S2WI00185
N00034825	Spanarelli, Keith Robert	D	DES1	S2DE00072
N00034334	Speer, Richard	R	NC02	H2NC02188
N00029649	Speier, Jackie	D	CA14	H8CA12171
N00030908	Spradlin, Samuel Thomas	R	IL15	H0IL15087
N00032972	Squiers, Lissa	D	TX07	H0TX07147
N00034557	St John, Jack Andrew	R	SC03	H2SC03107
N00034809	Staats, Brad	R	TN05	H2TN05271
N00004118	Stabenow, Debbie	D	MIS2	S8MI00281
N00033250	Stacy, John William	R	TX33	H2TX33016
N00034892	Stadler, Chuck	D	MI10	H2MI10101
N00002835	Stahl, John	R	CA52	H2CA50141
N00031942	Stahly, Michael Allen	R	MI07	H0MI07085
N00034898	Stalboerger, Brian	D	MN04	H2MN04136
N00033972	Standridge, David	R	AL06	H2AL06100
N00013563	Stanton, Darryl	D	MNS2	S6MN00366
N00034305	Stapley, Don	R	AZ09	H2AZ09068
N00007397	Stark, Pete	D	CA15	H2CA15110
N00007397	Stark, Pete	D	CA15	H2CA15110
N00002782	Stearns, Cliff	R	FL03	H8FL06056
N00034912	Steele, Adam	3	MN07	H2MN07097
N00034113	Steele, Ryan	D	OH10	H2OH10237
N00033026	Steelman, Sarah H	R	MOS2	S2MO00403
N00033900	Steen, Fred	R	NC08	H2NC08193
N00030479	Stein, Gary	D	NJ02	H8NJ02133
N00033776	Stein, Jill	3	PRES	P20003984
N00033787	Steinberg, Mike	R	NC09	H2NC09050
N00034888	Steinhof, David	R	MA04	H2MA04107
N00034390	Steinman, David	3	CA33	H2CA33139
N00005332	Stenberg, Don	R	NES1	S6NE00079
N00028854	Stephens, Craig T	I	TX23	H6TX23174
N00030991	Stephens, Gary	R	SC07	H2SC07017
N00034711	Stephens, Keyantlson Deshaun	3	GA09	H2GA09192
N00033552	Stephens, Lauren	R	WI06	H2WI06059
N00028039	Stepp, Ken	D	KY05	H6KY05111
N00033639	Sterling, Jason	R	NY01	H2NY01083
N00033742	Sternad, Justin	D	FL26	H2FL25042
N00032715	Stevens, Norma Jean	I	WA03	H0WA03229
N00012974	Stevenson, Rich	3	OH01	H0OH01065
N00034805	Stewart, Brandon	I	TN02	H2TN02104
N00033932	Stewart, Chris	R	UT02	H2UT02324
N00034653	Stewart, Diane	D	CAS2	S2CA00773
N00033868	Stewart, Eric	D	TN04	H2TN04258
N00031193	Stiglich, Pete	R	CA01	H0CA02120
N00001443	Stilp, Gene	D	PA11	H6PA17120
N00034720	Stilson, Tom	R	MO07	H2MO07101
N00033417	Stinchfield, Grant	R	TX24	H2TX00114
